model,language,pair_id,order,verdict_mismatch,margin_original,margin_repeat,abs_margin_original,logit_A_original,logit_A_repeat,logit_B_original,logit_B_repeat,max_logit_diff,c,b,tie_c,boundary
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0627,BA,False,-1.0,-1.0,1.0,23.75,23.625,24.75,24.625,0.125,0.125,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0628,AB,False,-0.75,-0.875,0.75,24.25,24.25,25.0,25.125,0.125,0.125,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0628,BA,False,-1.0,-1.0,1.0,24.0,23.875,25.0,24.875,0.125,0.125,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0629,AB,False,-1.625,-1.625,1.625,23.375,23.375,25.0,25.0,0.0,-0.8125,-0.8125,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0629,BA,False,0.0,0.125,0.0,25.625,25.875,25.625,25.75,0.25,-0.8125,-0.8125,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0630,AB,False,-1.0,-0.875,1.0,24.375,24.375,25.375,25.25,0.125,0.1875,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0630,BA,False,-1.375,-1.375,1.375,23.625,23.75,25.0,25.125,0.125,0.1875,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0631,AB,False,-0.25,-0.125,0.25,25.375,25.625,25.625,25.75,0.25,0.625,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0631,BA,False,-1.5,-1.25,1.5,23.375,23.875,24.875,25.125,0.5,0.625,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0632,AB,False,-0.375,-0.375,0.375,24.875,25.125,25.25,25.5,0.25,0.4375,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0632,BA,False,-1.25,-1.375,1.25,24.125,23.875,25.375,25.25,0.25,0.4375,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0633,AB,False,-1.625,-1.375,1.625,23.5,23.75,25.125,25.125,0.25,-0.5625,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0633,BA,False,-0.5,-0.5,0.5,25.25,25.125,25.75,25.625,0.125,-0.5625,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0634,AB,False,-1.5,-1.25,1.5,23.625,23.875,25.125,25.125,0.25,-0.6875,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0634,BA,False,-0.125,-0.125,0.125,25.125,25.0,25.25,25.125,0.125,-0.6875,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0635,AB,False,-1.375,-1.25,1.375,23.875,24.125,25.25,25.375,0.25,-0.4375,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0635,BA,False,-0.5,-0.375,0.5,24.75,25.25,25.25,25.625,0.5,-0.4375,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0636,AB,False,1.125,1.0,1.125,26.5,26.375,25.375,25.375,0.125,2.0,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0636,BA,False,-2.875,-2.75,2.875,22.375,22.5,25.25,25.25,0.125,2.0,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0637,AB,False,1.0,1.125,1.0,26.375,26.625,25.375,25.5,0.25,1.875,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0637,BA,False,-2.75,-2.75,2.75,22.625,22.625,25.375,25.375,0.0,1.875,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0638,AB,False,-1.125,-1.375,1.125,23.875,23.375,25.0,24.75,0.5,0.3125,-1.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0638,BA,False,-1.75,-1.875,1.75,23.25,23.0,25.0,24.875,0.25,0.3125,-1.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0639,AB,False,1.625,1.375,1.625,26.625,26.5,25.0,25.125,0.125,1.75,-0.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0639,BA,False,-1.875,-1.75,1.875,23.25,23.25,25.125,25.0,0.125,1.75,-0.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0640,AB,False,-1.75,-1.75,1.75,23.75,23.75,25.5,25.5,0.0,-0.9375,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0640,BA,False,0.125,0.125,0.125,25.875,26.0,25.75,25.875,0.125,-0.9375,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0641,AB,False,-1.125,-1.125,1.125,24.25,24.125,25.375,25.25,0.125,-0.0625,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0641,BA,False,-1.0,-1.125,1.0,24.125,23.875,25.125,25.0,0.25,-0.0625,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0642,AB,False,-0.625,-0.625,0.625,24.5,24.625,25.125,25.25,0.125,0.3125,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0642,BA,False,-1.25,-1.25,1.25,24.0,24.0,25.25,25.25,0.0,0.3125,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0643,AB,False,2.25,2.0,2.25,26.75,27.0,24.5,25.0,0.5,2.1875,0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0643,BA,False,-2.125,-2.125,2.125,22.75,22.75,24.875,24.875,0.0,2.1875,0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0644,AB,False,-0.375,-0.5,0.375,25.25,25.0,25.625,25.5,0.25,0.25,-0.625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0644,BA,False,-0.875,-0.75,0.875,24.375,24.625,25.25,25.375,0.25,0.25,-0.625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0645,AB,False,-0.75,-0.75,0.75,24.375,24.375,25.125,25.125,0.0,0.125,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0645,BA,False,-1.0,-1.0,1.0,23.75,23.75,24.75,24.75,0.0,0.125,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0646,AB,True,0.125,-0.125,0.125,26.0,25.875,25.875,26.0,0.125,0.875,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0646,BA,False,-1.625,-1.25,1.625,23.375,23.625,25.0,24.875,0.25,0.875,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0647,AB,False,-0.375,-0.375,0.375,24.875,24.875,25.25,25.25,0.0,0.9375,-1.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0647,BA,False,-2.25,-2.125,2.25,23.0,23.0,25.25,25.125,0.125,0.9375,-1.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0648,AB,False,-1.5,-1.75,1.5,23.125,22.875,24.625,24.625,0.25,-1.0,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0648,BA,False,0.5,0.625,0.5,26.25,26.375,25.75,25.75,0.125,-1.0,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0649,AB,False,-0.875,-0.625,0.875,24.0,24.25,24.875,24.875,0.25,0.125,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0649,BA,False,-1.125,-1.0,1.125,24.375,24.5,25.5,25.5,0.125,0.125,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0650,AB,False,-1.625,-1.75,1.625,23.5,23.25,25.125,25.0,0.25,-1.25,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0650,BA,False,0.875,0.625,0.875,26.25,26.25,25.375,25.625,0.25,-1.25,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0651,AB,False,-1.125,-1.125,1.125,24.125,23.875,25.25,25.0,0.25,0.0625,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0651,BA,False,-1.25,-1.375,1.25,23.875,23.375,25.125,24.75,0.5,0.0625,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0652,AB,False,-1.25,-1.25,1.25,23.875,24.25,25.125,25.5,0.375,-0.3125,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0652,BA,False,-0.625,-0.75,0.625,24.25,24.625,24.875,25.375,0.5,-0.3125,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0653,AB,False,-1.75,-1.5,1.75,23.5,23.75,25.25,25.25,0.25,-0.1875,-1.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0653,BA,False,-1.375,-1.375,1.375,23.875,23.75,25.25,25.125,0.125,-0.1875,-1.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0654,AB,False,-1.75,-1.625,1.75,23.5,23.5,25.25,25.125,0.125,-0.4375,-1.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0654,BA,False,-0.875,-1.0,0.875,24.0,23.875,24.875,24.875,0.125,-0.4375,-1.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0655,AB,False,-1.0,-1.0,1.0,24.5,24.375,25.5,25.375,0.125,0.125,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0655,BA,False,-1.25,-1.125,1.25,23.625,23.875,24.875,25.0,0.25,0.125,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0656,AB,False,-1.875,-1.625,1.875,23.0,23.25,24.875,24.875,0.25,-0.9375,-0.9375,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0656,BA,False,0.0,0.125,0.0,25.75,25.875,25.75,25.75,0.125,-0.9375,-0.9375,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0657,AB,False,-2.375,-2.125,2.375,22.5,22.625,24.875,24.75,0.125,-0.6875,-1.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0657,BA,False,-1.0,-1.25,1.0,25.0,24.625,26.0,25.875,0.375,-0.6875,-1.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0658,AB,False,-2.125,-2.125,2.125,23.0,22.875,25.125,25.0,0.125,-0.75,-1.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0658,BA,False,-0.625,-0.75,0.625,25.0,24.875,25.625,25.625,0.125,-0.75,-1.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0659,AB,False,-1.875,-2.0,1.875,23.375,23.25,25.25,25.25,0.125,-0.875,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0659,BA,True,-0.125,0.0,0.125,25.125,25.5,25.25,25.5,0.375,-0.875,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0660,AB,False,-1.75,-1.625,1.75,23.625,23.5,25.375,25.125,0.25,-0.5,-1.25,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0660,BA,False,-0.75,-0.5,0.75,25.125,25.625,25.875,26.125,0.5,-0.5,-1.25,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0661,AB,False,-1.875,-1.875,1.875,23.25,23.25,25.125,25.125,0.0,-0.75,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0661,BA,False,-0.375,-0.25,0.375,24.875,24.875,25.25,25.125,0.125,-0.75,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0662,AB,False,-1.125,-1.375,1.125,24.0,24.0,25.125,25.375,0.25,-0.25,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0662,BA,False,-0.625,-0.375,0.625,25.125,25.5,25.75,25.875,0.375,-0.25,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0663,AB,False,-1.125,-1.0,1.125,24.125,24.125,25.25,25.125,0.125,0.125,-1.25,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0663,BA,False,-1.375,-1.5,1.375,23.75,23.375,25.125,24.875,0.375,0.125,-1.25,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0664,AB,False,-0.75,-0.75,0.75,24.875,24.75,25.625,25.5,0.125,0.375,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0664,BA,False,-1.5,-1.25,1.5,23.5,23.625,25.0,24.875,0.125,0.375,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0665,AB,False,-0.5,-0.375,0.5,25.125,25.25,25.625,25.625,0.125,0.5625,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0665,BA,False,-1.625,-1.5,1.625,23.375,23.25,25.0,24.75,0.25,0.5625,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0666,AB,False,-0.5,-0.5,0.5,25.0,24.875,25.5,25.375,0.125,0.5,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0666,BA,False,-1.5,-1.625,1.5,23.75,23.5,25.25,25.125,0.25,0.5,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0667,AB,False,-1.25,-1.125,1.25,23.375,23.375,24.625,24.5,0.125,-1.25,0.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0667,BA,False,1.25,1.25,1.25,27.125,26.75,25.875,25.5,0.375,-1.25,0.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0668,AB,False,-0.375,-0.375,0.375,24.875,24.75,25.25,25.125,0.125,0.0,-0.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0668,BA,False,-0.375,-0.25,0.375,25.125,25.125,25.5,25.375,0.125,0.0,-0.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0669,AB,False,-2.375,-2.0,2.375,22.75,22.875,25.125,24.875,0.25,-0.875,-1.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0669,BA,False,-0.625,-0.625,0.625,24.375,24.625,25.0,25.25,0.25,-0.875,-1.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0670,AB,False,-2.25,-1.875,2.25,23.0,23.25,25.25,25.125,0.25,-0.5,-1.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0670,BA,False,-1.25,-1.125,1.25,23.625,23.875,24.875,25.0,0.25,-0.5,-1.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0671,AB,False,0.625,0.625,0.625,26.375,26.0,25.75,25.375,0.375,0.6875,-0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0671,BA,False,-0.75,-0.75,0.75,24.625,24.75,25.375,25.5,0.125,0.6875,-0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0672,AB,False,-1.875,-1.75,1.875,23.0,23.0,24.875,24.75,0.125,-0.625,-1.25,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0672,BA,False,-0.625,-0.75,0.625,24.5,24.25,25.125,25.0,0.25,-0.625,-1.25,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0673,AB,False,-1.75,-1.375,1.75,23.25,23.875,25.0,25.25,0.625,-0.375,-1.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0673,BA,False,-1.0,-1.25,1.0,24.375,23.875,25.375,25.125,0.5,-0.375,-1.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0674,AB,False,-2.0,-1.75,2.0,22.875,23.125,24.875,24.875,0.25,-0.5625,-1.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0674,BA,False,-0.875,-0.875,0.875,24.125,23.875,25.0,24.75,0.25,-0.5625,-1.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0675,AB,False,-1.375,-1.375,1.375,23.5,23.625,24.875,25.0,0.125,-1.375,0.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0675,BA,False,1.375,1.5,1.375,27.0,27.125,25.625,25.625,0.125,-1.375,0.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0676,AB,False,-0.875,-0.875,0.875,24.25,24.0,25.125,24.875,0.25,-0.125,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0676,BA,False,-0.625,-0.5,0.625,24.75,24.75,25.375,25.25,0.125,-0.125,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0677,AB,False,-1.0,-0.75,1.0,24.25,24.5,25.25,25.25,0.25,0.5,-1.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0677,BA,False,-2.0,-1.875,2.0,23.125,23.375,25.125,25.25,0.25,0.5,-1.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0678,AB,False,0.25,0.5,0.25,25.625,26.0,25.375,25.5,0.375,0.75,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0678,BA,False,-1.25,-1.25,1.25,23.875,23.75,25.125,25.0,0.125,0.75,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0679,AB,False,0.125,0.125,0.125,25.25,25.25,25.125,25.125,0.0,0.3125,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0679,BA,False,-0.5,-0.5,0.5,24.875,24.75,25.375,25.25,0.125,0.3125,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0680,AB,False,0.5,0.5,0.5,25.75,25.625,25.25,25.125,0.125,0.6875,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0680,BA,False,-0.875,-1.0,0.875,24.375,24.125,25.25,25.125,0.25,0.6875,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0681,AB,False,-0.125,-0.125,0.125,25.625,25.375,25.75,25.5,0.25,0.1875,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0681,BA,False,-0.5,-0.5,0.5,25.625,25.125,26.125,25.625,0.5,0.1875,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0682,AB,False,0.125,0.25,0.125,24.625,25.125,24.5,24.875,0.5,0.5625,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0682,BA,False,-1.0,-1.0,1.0,23.5,23.625,24.5,24.625,0.125,0.5625,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0683,AB,False,0.625,0.625,0.625,26.0,26.0,25.375,25.375,0.0,0.5625,0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0683,BA,False,-0.5,-0.5,0.5,24.625,24.75,25.125,25.25,0.125,0.5625,0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0684,AB,False,1.5,1.75,1.5,26.0,26.125,24.5,24.375,0.125,1.875,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0684,BA,False,-2.25,-2.375,2.25,22.25,22.25,24.5,24.625,0.125,1.875,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0685,AB,False,-0.125,-0.5,0.125,25.125,24.75,25.25,25.25,0.375,0.1875,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0685,BA,False,-0.5,-0.5,0.5,25.125,24.875,25.625,25.375,0.25,0.1875,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0686,AB,False,0.25,0.125,0.25,25.125,25.125,24.875,25.0,0.125,1.25,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0686,BA,False,-2.25,-2.25,2.25,22.375,22.625,24.625,24.875,0.25,1.25,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0687,AB,False,0.25,0.125,0.25,25.0,24.875,24.75,24.75,0.125,1.0625,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0687,BA,False,-1.875,-1.75,1.875,22.75,23.125,24.625,24.875,0.375,1.0625,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0688,AB,False,0.0,0.0,0.0,25.625,25.625,25.625,25.625,0.0,0.1875,-0.1875,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0688,BA,False,-0.375,-0.375,0.375,25.125,25.25,25.5,25.625,0.125,0.1875,-0.1875,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0689,AB,False,-0.75,-0.875,0.75,24.25,24.375,25.0,25.25,0.25,-0.4375,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0689,BA,False,0.125,0.25,0.125,25.5,25.75,25.375,25.5,0.25,-0.4375,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0690,AB,False,0.5,0.625,0.5,26.25,26.125,25.75,25.5,0.25,0.9375,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0690,BA,False,-1.375,-1.5,1.375,23.125,23.0,24.5,24.5,0.125,0.9375,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0691,AB,False,0.25,0.125,0.25,25.25,24.875,25.0,24.75,0.375,1.1875,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0691,BA,False,-2.125,-2.0,2.125,23.125,23.0,25.25,25.0,0.25,1.1875,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0692,AB,False,-0.5,-0.625,0.5,24.875,24.625,25.375,25.25,0.25,-0.125,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0692,BA,False,-0.25,-0.25,0.25,25.125,25.125,25.375,25.375,0.0,-0.125,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0693,AB,False,0.375,0.5,0.375,25.75,25.875,25.375,25.375,0.125,0.875,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0693,BA,False,-1.375,-1.375,1.375,23.375,23.5,24.75,24.875,0.125,0.875,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0694,AB,False,-0.5,-0.5,0.5,24.875,24.75,25.375,25.25,0.125,0.25,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0694,BA,False,-1.0,-1.125,1.0,24.125,24.0,25.125,25.125,0.125,0.25,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0695,AB,False,-0.5,-0.375,0.5,25.5,25.375,26.0,25.75,0.25,0.25,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0695,BA,False,-1.0,-1.0,1.0,24.25,24.25,25.25,25.25,0.0,0.25,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0696,AB,False,-1.25,-1.25,1.25,23.0,23.0,24.25,24.25,0.0,-0.5625,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0696,BA,False,-0.125,-0.125,0.125,25.125,25.375,25.25,25.5,0.25,-0.5625,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0697,AB,False,-1.5,-1.375,1.5,22.75,23.125,24.25,24.5,0.375,-0.125,-1.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0697,BA,False,-1.25,-1.125,1.25,23.875,23.75,25.125,24.875,0.25,-0.125,-1.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0698,AB,False,-1.25,-1.375,1.25,22.625,22.5,23.875,23.875,0.125,-0.3125,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0698,BA,False,-0.625,-0.5,0.625,24.5,24.625,25.125,25.125,0.125,-0.3125,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0699,AB,False,-2.0,-2.25,2.0,22.375,21.5,24.375,23.75,0.875,-1.25,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0699,BA,False,0.5,0.5,0.5,26.0,26.0,25.5,25.5,0.0,-1.25,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0700,AB,False,-1.375,-1.75,1.375,23.125,23.0,24.5,24.75,0.25,0.0,-1.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0700,BA,False,-1.375,-1.5,1.375,23.75,23.625,25.125,25.125,0.125,0.0,-1.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0701,AB,False,-1.0,-1.0,1.0,23.375,23.25,24.375,24.25,0.125,-0.4375,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0701,BA,False,-0.125,-0.125,0.125,25.0,24.875,25.125,25.0,0.125,-0.4375,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0702,AB,False,-0.875,-0.875,0.875,25.25,25.0,26.125,25.875,0.25,-0.375,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0702,BA,False,-0.125,-0.125,0.125,25.5,25.0,25.625,25.125,0.5,-0.375,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0703,AB,False,0.25,0.25,0.25,25.75,25.625,25.5,25.375,0.125,0.6875,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0703,BA,False,-1.125,-1.125,1.125,23.75,23.5,24.875,24.625,0.25,0.6875,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0704,AB,False,-0.75,-0.75,0.75,24.75,24.75,25.5,25.5,0.0,0.0,-0.75,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0704,BA,False,-0.75,-1.125,0.75,24.375,24.0,25.125,25.125,0.375,0.0,-0.75,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0705,AB,False,-0.5,-0.5,0.5,24.75,24.875,25.25,25.375,0.125,0.125,-0.625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0705,BA,False,-0.75,-0.875,0.75,24.375,24.25,25.125,25.125,0.125,0.125,-0.625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0706,AB,False,-1.25,-1.5,1.25,24.125,23.625,25.375,25.125,0.5,-0.6875,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0706,BA,False,0.125,0.25,0.125,26.375,26.5,26.25,26.25,0.125,-0.6875,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0707,AB,False,-0.625,-0.625,0.625,24.75,24.75,25.375,25.375,0.0,0.6875,-1.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0707,BA,False,-2.0,-2.0,2.0,23.0,22.75,25.0,24.75,0.25,0.6875,-1.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0708,AB,False,-0.375,-0.375,0.375,24.75,24.625,25.125,25.0,0.125,0.1875,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0708,BA,False,-0.75,-0.75,0.75,24.5,24.625,25.25,25.375,0.125,0.1875,-0.5625,False,False
