experiment,model,language,condition,abs_c_decile,n,abs_c_min,abs_c_median,abs_c_max,debiased_accuracy,strict_valid_rate,strict_valid_only_accuracy
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,5,100,0.4375,0.5,0.5625,0.48,0.39,0.5897435897435898
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,6,100,0.5625,0.6875,0.75,0.53,0.62,0.532258064516129
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,7,100,0.75,0.875,0.9375,0.53,0.77,0.5454545454545454
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,8,100,0.9375,1.0625,1.1875,0.46,0.85,0.4823529411764706
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,9,100,1.1875,1.3125,1.5,0.52,0.9,0.5
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,10,100,1.5625,1.9375,4.3125,0.73,0.98,0.7244897959183674
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.37,0.09,0.5555555555555556
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,2,100,0.125,0.1875,0.25,0.53,0.25,0.6
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,3,100,0.25,0.3125,0.375,0.44,0.47,0.40425531914893614
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,4,100,0.375,0.46875,0.5625,0.49,0.57,0.49122807017543857
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,5,100,0.5625,0.625,0.6875,0.54,0.73,0.5616438356164384
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,6,100,0.6875,0.8125,0.9375,0.52,0.83,0.5301204819277109
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,7,100,0.9375,1.0,1.0625,0.45,0.86,0.45348837209302323
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,8,100,1.0625,1.1875,1.3125,0.49,0.95,0.4842105263157895
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,9,100,1.3125,1.4375,1.625,0.47,0.98,0.46938775510204084
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,10,100,1.625,2.0,3.625,0.59,1.0,0.59
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.31,0.03,0.0
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,2,100,0.125,0.1875,0.25,0.57,0.11,0.6363636363636364
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,3,100,0.25,0.3125,0.375,0.56,0.19,0.6842105263157895
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,4,100,0.375,0.4375,0.5,0.54,0.21,0.6190476190476191
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,5,100,0.5,0.5625,0.625,0.63,0.47,0.6382978723404256
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,6,100,0.625,0.75,0.8125,0.48,0.57,0.42105263157894735
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,7,100,0.8125,0.9375,1.0625,0.56,0.72,0.5972222222222222
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,8,100,1.0625,1.1875,1.3125,0.47,0.87,0.4482758620689655
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,9,100,1.3125,1.4375,1.6875,0.52,0.96,0.53125
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,10,100,1.6875,2.0625,4.0,0.59,0.99,0.5858585858585859
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.37,0.05,0.0
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.61,0.17,0.47058823529411764
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,3,100,0.25,0.375,0.4375,0.48,0.41,0.3902439024390244
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,4,100,0.4375,0.5,0.625,0.43,0.54,0.4444444444444444
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,5,100,0.625,0.6875,0.8125,0.45,0.66,0.4696969696969697
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,6,100,0.8125,0.875,1.0,0.57,0.76,0.5394736842105263
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,7,100,1.0,1.125,1.25,0.5,0.8,0.525
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,8,100,1.25,1.375,1.5,0.45,0.96,0.4583333333333333
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,9,100,1.5,1.6875,1.9375,0.4,0.98,0.3979591836734694
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,10,100,1.9375,2.3125,3.8125,0.48,1.0,0.48
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.39,0.05,0.6
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,2,100,0.125,0.1875,0.25,0.56,0.14,0.7142857142857143
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,3,100,0.25,0.3125,0.375,0.55,0.21,0.6190476190476191
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,4,100,0.375,0.4375,0.5625,0.61,0.34,0.6176470588235294
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,5,100,0.5625,0.625,0.6875,0.41,0.5,0.48
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,6,100,0.6875,0.8125,0.875,0.55,0.61,0.5573770491803278
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,7,100,0.875,1.0,1.125,0.43,0.78,0.4358974358974359
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,8,100,1.125,1.21875,1.3125,0.56,0.85,0.5529411764705883
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,9,100,1.375,1.5,1.8125,0.48,0.93,0.4838709677419355
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,10,100,1.8125,2.1875,4.5,0.64,0.98,0.6326530612244898
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.36,0.13,0.23076923076923078
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,2,100,0.125,0.25,0.3125,0.49,0.24,0.4583333333333333
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,3,100,0.3125,0.375,0.4375,0.47,0.4,0.525
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,4,100,0.4375,0.5625,0.625,0.56,0.61,0.5409836065573771
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,5,100,0.625,0.75,0.8125,0.48,0.68,0.47058823529411764
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,6,100,0.8125,0.9375,1.0,0.52,0.8,0.5375
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,7,100,1.0,1.125,1.25,0.46,0.9,0.4666666666666667
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,8,100,1.25,1.375,1.5,0.51,0.94,0.5
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,9,100,1.5,1.71875,1.9375,0.45,0.98,0.4489795918367347
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,10,100,2.0,2.3125,3.6875,0.48,1.0,0.48
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.37,0.01,0.0
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,2,100,0.125,0.21875,0.3125,0.56,0.03,0.3333333333333333
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,3,100,0.3125,0.375,0.4375,0.53,0.16,0.4375
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,4,100,0.4375,0.5,0.5625,0.47,0.07,0.7142857142857143
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,5,100,0.5625,0.625,0.75,0.49,0.15,0.26666666666666666
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,6,100,0.75,0.8125,0.9375,0.52,0.29,0.41379310344827586
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,7,100,0.9375,1.0625,1.1875,0.6,0.45,0.5555555555555556
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,8,100,1.1875,1.3125,1.4375,0.48,0.64,0.453125
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,9,100,1.4375,1.625,1.875,0.52,0.89,0.5393258426966292
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,10,100,1.875,2.25,3.625,0.46,0.94,0.46808510638297873
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.34,0.01,1.0
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.56,0.04,0.5
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,3,100,0.25,0.3125,0.375,0.57,0.17,0.6470588235294118
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,4,100,0.375,0.4375,0.5,0.54,0.22,0.5
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,5,100,0.5,0.5625,0.6875,0.51,0.34,0.5
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,6,100,0.6875,0.75,0.8125,0.58,0.39,0.48717948717948717
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,7,100,0.8125,0.9375,1.0625,0.57,0.54,0.5740740740740741
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,8,100,1.0625,1.1875,1.3125,0.48,0.69,0.4782608695652174
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,9,100,1.3125,1.4375,1.625,0.51,0.81,0.5061728395061729
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,10,100,1.625,1.9375,2.875,0.48,0.92,0.4782608695652174
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.39,0.0,
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,2,100,0.125,0.25,0.25,0.52,0.06,0.5
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,3,100,0.25,0.3125,0.375,0.51,0.11,0.6363636363636364
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,4,100,0.375,0.5,0.5625,0.55,0.07,0.2857142857142857
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,5,100,0.5625,0.625,0.75,0.63,0.2,0.5
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,6,100,0.75,0.8125,0.9375,0.44,0.34,0.4411764705882353
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,7,100,0.9375,1.0,1.125,0.59,0.42,0.38095238095238093
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,8,100,1.125,1.3125,1.5,0.44,0.69,0.4057971014492754
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,9,100,1.5,1.625,1.8125,0.49,0.87,0.5172413793103449
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,10,100,1.8125,2.1875,3.9375,0.53,0.97,0.5360824742268041
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.35,0.0,
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,2,100,0.125,0.1875,0.25,0.54,0.06,0.16666666666666666
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,3,100,0.25,0.3125,0.375,0.49,0.13,0.46153846153846156
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,4,100,0.375,0.4375,0.5,0.58,0.22,0.45454545454545453
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,5,100,0.5,0.5625,0.625,0.5,0.29,0.5172413793103449
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,6,100,0.625,0.75,0.8125,0.65,0.4,0.625
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,7,100,0.8125,0.9375,1.0625,0.49,0.6,0.5
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,8,100,1.0625,1.1875,1.3125,0.47,0.56,0.5535714285714286
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,9,100,1.375,1.5,1.6875,0.52,0.82,0.4878048780487805
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,10,100,1.6875,1.9375,3.0625,0.49,0.95,0.49473684210526314
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.4,0.02,0.5
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,2,100,0.125,0.1875,0.25,0.59,0.02,0.5
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,3,100,0.25,0.3125,0.375,0.51,0.1,0.5
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,4,100,0.375,0.4375,0.5,0.43,0.16,0.4375
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,5,100,0.5,0.625,0.6875,0.51,0.17,0.4117647058823529
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,6,100,0.6875,0.8125,0.875,0.49,0.3,0.26666666666666666
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,7,100,0.875,1.0,1.125,0.5,0.42,0.42857142857142855
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,8,100,1.125,1.25,1.4375,0.54,0.67,0.47761194029850745
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,9,100,1.4375,1.5625,1.75,0.51,0.86,0.5116279069767442
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,10,100,1.75,2.1875,3.6875,0.51,0.98,0.5102040816326531
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.38,0.02,0.0
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.52,0.12,0.5833333333333334
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,3,100,0.25,0.3125,0.375,0.6,0.11,0.5454545454545454
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,4,100,0.375,0.375,0.4375,0.48,0.21,0.5238095238095238
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,5,100,0.4375,0.5625,0.625,0.4,0.41,0.34146341463414637
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,6,100,0.625,0.6875,0.75,0.48,0.41,0.4146341463414634
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,7,100,0.75,0.875,1.0,0.56,0.49,0.5918367346938775
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,8,100,1.0,1.0625,1.25,0.55,0.69,0.4927536231884058
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,9,100,1.25,1.4375,1.6875,0.51,0.9,0.5
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,10,100,1.6875,1.96875,3.1875,0.56,0.98,0.5510204081632653
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.38,0.03,0.3333333333333333
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,2,100,0.125,0.1875,0.25,0.5,0.03,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,3,100,0.25,0.3125,0.375,0.47,0.02,1.0
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,4,100,0.375,0.5,0.5625,0.61,0.15,0.4
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,5,100,0.5625,0.625,0.6875,0.54,0.19,0.3684210526315789
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,6,100,0.6875,0.8125,0.875,0.5,0.38,0.39473684210526316
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,7,100,0.875,1.0,1.125,0.51,0.55,0.45454545454545453
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,8,100,1.125,1.3125,1.4375,0.57,0.76,0.5263157894736842
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,9,100,1.4375,1.625,1.8125,0.53,0.89,0.550561797752809
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,10,100,1.8125,2.125,3.75,0.46,0.98,0.46938775510204084
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.44,0.04,0.25
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,2,100,0.125,0.125,0.1875,0.53,0.07,0.5714285714285714
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,3,100,0.1875,0.25,0.3125,0.52,0.13,0.5384615384615384
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,4,100,0.3125,0.375,0.5,0.51,0.26,0.5384615384615384
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,5,100,0.5,0.5625,0.625,0.55,0.27,0.5555555555555556
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,6,100,0.625,0.6875,0.8125,0.56,0.52,0.5384615384615384
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,7,100,0.8125,0.9375,1.0,0.52,0.49,0.5102040816326531
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,8,100,1.0,1.1875,1.25,0.58,0.51,0.5490196078431373
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,9,100,1.25,1.4375,1.6875,0.45,0.81,0.4444444444444444
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,10,100,1.6875,2.0,3.25,0.61,0.97,0.6185567010309279
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.44,0.01,1.0
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,2,100,0.125,0.1875,0.3125,0.57,0.03,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,3,100,0.3125,0.375,0.4375,0.53,0.09,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,4,100,0.4375,0.5,0.5625,0.53,0.2,0.5
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,5,100,0.5625,0.6875,0.75,0.53,0.14,0.2857142857142857
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,6,100,0.75,0.875,1.0,0.57,0.34,0.29411764705882354
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,7,100,1.0,1.0625,1.25,0.44,0.41,0.4634146341463415
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,8,100,1.25,1.4375,1.5625,0.43,0.71,0.4084507042253521
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,9,100,1.625,1.75,2.0,0.48,0.92,0.5217391304347826
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,10,100,2.0,2.5,4.125,0.41,0.99,0.40404040404040403
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.33,0.01,1.0
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.55,0.06,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,3,100,0.25,0.3125,0.375,0.59,0.16,0.6875
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,4,100,0.375,0.4375,0.5,0.58,0.2,0.55
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,5,100,0.5,0.625,0.6875,0.48,0.36,0.3888888888888889
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,6,100,0.6875,0.8125,0.9375,0.57,0.52,0.5192307692307693
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,7,100,0.9375,1.0625,1.1875,0.49,0.58,0.41379310344827586
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,8,100,1.1875,1.375,1.5625,0.51,0.76,0.5263157894736842
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,9,100,1.5625,1.75,2.0625,0.46,0.92,0.44565217391304346
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,10,100,2.0625,2.4375,4.0,0.38,1.0,0.38
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.46,0.02,0.5
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,2,100,0.125,0.1875,0.3125,0.49,0.05,0.2
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,3,100,0.3125,0.375,0.4375,0.52,0.08,0.5
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,4,100,0.4375,0.5,0.625,0.49,0.1,0.7
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,5,100,0.625,0.6875,0.75,0.58,0.17,0.4117647058823529
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,6,100,0.75,0.875,1.0,0.6,0.35,0.4857142857142857
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,7,100,1.0,1.125,1.25,0.53,0.47,0.46808510638297873
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,8,100,1.25,1.5,1.625,0.38,0.72,0.375
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,9,100,1.625,1.875,2.0625,0.53,0.82,0.524390243902439
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,10,100,2.125,2.5,3.875,0.34,0.99,0.3333333333333333
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.5,0.06,0.8333333333333334
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,2,100,0.125,0.1875,0.25,0.51,0.07,0.5714285714285714
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,3,100,0.25,0.3125,0.375,0.57,0.21,0.6190476190476191
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,4,100,0.375,0.4375,0.5625,0.52,0.19,0.5789473684210527
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,5,100,0.5625,0.625,0.6875,0.56,0.37,0.5405405405405406
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,6,100,0.6875,0.8125,0.875,0.53,0.49,0.4897959183673469
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,7,100,0.875,1.0,1.1875,0.42,0.54,0.4074074074074074
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,8,100,1.1875,1.375,1.5625,0.59,0.7,0.5571428571428572
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,9,100,1.5625,1.875,2.1875,0.56,0.9,0.5777777777777777
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,10,100,2.1875,2.5625,3.875,0.39,1.0,0.39
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.44,0.04,0.75
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,2,100,0.125,0.1875,0.3125,0.58,0.16,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,3,100,0.3125,0.375,0.4375,0.64,0.32,0.75
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,4,100,0.4375,0.5,0.5625,0.64,0.38,0.631578947368421
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,5,100,0.5625,0.6875,0.75,0.59,0.45,0.6888888888888889
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,6,100,0.75,0.8125,0.9375,0.64,0.65,0.6923076923076923
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,7,100,0.9375,1.0,1.125,0.71,0.84,0.7261904761904762
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,8,100,1.125,1.25,1.375,0.79,0.9,0.8111111111111111
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,9,100,1.375,1.5,1.75,0.88,0.97,0.8865979381443299
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,10,100,1.75,2.125,3.8125,0.95,1.0,0.95
