pair_id,snippet_x_id,snippet_y_id,difficulty,human_preference
full_rq0_seed42__rq0_0185__rq0_0199,rq0_0185,rq0_0199,medium,rq0_0185
full_rq0_seed42__rq0_0018__rq0_0111,rq0_0018,rq0_0111,easy,rq0_0018
full_rq0_seed42__rq0_0183__rq0_0199,rq0_0183,rq0_0199,easy,rq0_0199
full_rq0_seed42__rq0_0148__rq0_0263,rq0_0148,rq0_0263,medium,rq0_0148
full_rq0_seed42__rq0_0074__rq0_0302,rq0_0074,rq0_0302,medium,rq0_0074
full_rq0_seed42__rq0_0154__rq0_0166,rq0_0154,rq0_0166,hard,rq0_0154
full_rq0_seed42__rq0_0085__rq0_0136,rq0_0085,rq0_0136,medium,rq0_0136
full_rq0_seed42__rq0_0072__rq0_0301,rq0_0072,rq0_0301,easy,rq0_0072
full_rq0_seed42__rq0_0182__rq0_0220,rq0_0182,rq0_0220,easy,rq0_0182
full_rq0_seed42__rq0_0056__rq0_0067,rq0_0056,rq0_0067,medium,rq0_0067
